filename,arm_name,intervention_type,screening_window,1_month,3_months,6_months,9_months,12_months,core_treatment_screening_window,core_treatment_1_month,core_treatment_3_months,core_treatment_6_months,core_treatment_9_months,core_treatment_12_months,imaging_diagnostics_screening_window,imaging_diagnostics_1_month,imaging_diagnostics_3_months,imaging_diagnostics_6_months,imaging_diagnostics_9_months,imaging_diagnostics_12_months,labs_screening_window,labs_1_month,labs_3_months,labs_6_months,labs_9_months,labs_12_months,clinic_visits_screening_window,clinic_visits_1_month,clinic_visits_3_months,clinic_visits_6_months,clinic_visits_9_months,clinic_visits_12_months,cycle_length_days,treatment_duration_rule,visit_pattern,assumptions
23358972,FOLFIRI + sunitinib (Arm A),intervention,1,4,8,16,24,32,0,3,6,12,18,24,1,1,2,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,42,until progression,"Screening, C1D1, C1D8, C1D15, C1D22, C1D29, C2D1, etc.","Screening visit counted as 1 contact day (Day -28 to Day -1); FOLFIRI administered every 2 weeks (3 courses per 6-week cycle); Sunitinib administered daily for 4 weeks followed by 2 weeks off; Tumor imaging performed every 6 weeks; Physical exams and labs performed on Day 1 of each cycle; Mid-cycle visits (Day 8, 15, 22, 29) counted as separate contact days when in-person assessments are required"
23358972,FOLFIRI + placebo (Arm B),control,1,4,8,16,24,32,0,3,6,12,18,24,1,1,2,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,42,until progression,"Screening, C1D1, C1D8, C1D15, C1D22, C1D29, C2D1, etc.","Screening visit counted as 1 contact day (Day -28 to Day -1); FOLFIRI administered every 2 weeks (3 courses per 6-week cycle); Placebo administered daily for 4 weeks followed by 2 weeks off; Tumor imaging performed every 6 weeks; Physical exams and labs performed on Day 1 of each cycle; Mid-cycle visits (Day 8, 15, 22, 29) counted as separate contact days when in-person assessments are required"
23940216,cediranib 30 mg monotherapy,intervention,1,5,10,20,30,40,0,5,10,20,30,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,until progression,"Screening, C1D1, C1D7, C1D14, C1D21, C1D28, C1D35, then every 3 weeks (C2D1, C3D1, etc.)","Screening visit counted as 1 contact day; Weekly visits for first 6 weeks (Days 1, 7, 14, 21, 28, 35) counted as 5 visits in 1 month window; Subsequent visits every 3 weeks counted through Day +365; All visits assumed to include core treatment administration; MRI assessments not counted as separate contact days if performed on same day as treatment visits"
23940216,cediranib 20 mg + lomustine,intervention,1,6,12,24,36,48,0,6,12,24,36,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,until progression,"Screening, C1D1, C1D7, C1D14, C1D21, C1D28, C1D35, then every 3 weeks (C2D1, C3D1, etc.)","Screening visit counted as 1 contact day; Weekly visits for first 6 weeks (Days 1, 7, 14, 21, 28, 35) counted as 6 visits in 1 month window (additional visit for lomustine administration); Subsequent visits every 3 weeks counted through Day +365; All visits assumed to include core treatment administration; MRI assessments not counted as separate contact days if performed on same day as treatment visits"
23940216,lomustine + cediranib matched placebo,control,1,6,12,24,36,48,0,6,12,24,36,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,until progression,"Screening, C1D1, C1D7, C1D14, C1D21, C1D28, C1D35, then every 3 weeks (C2D1, C3D1, etc.)","Screening visit counted as 1 contact day; Weekly visits for first 6 weeks (Days 1, 7, 14, 21, 28, 35) counted as 6 visits in 1 month window (additional visit for lomustine administration); Subsequent visits every 3 weeks counted through Day +365; All visits assumed to include core treatment administration; MRI assessments not counted as separate contact days if performed on same day as treatment visits"
27264120,Letrozole 2.5 mg/day x 5 years,intervention,1,1,1,2,2,3,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,30,5 years or until progression,"Screening, Month 1 (telephone), Month 6 (clinic + labs), Month 12 (clinic + labs + mammogram)","Telephone contact at 1 month counts as a clinic visit day; Mammogram at 12 months counts as imaging diagnostics day; Range visits (e.g., Day 14-21) counted as single visit on earliest day; All lab draws assumed to require in-person visit"
27264120,Placebo daily x 5 years,control,1,1,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,30,5 years or until progression,Identical to intervention arm minus treatment administration days,Same visit schedule as intervention arm for monitoring purposes; Placebo administration not counted as healthcare contact day; All safety monitoring visits identical between arms per protocol design
27569442,MAP (Good Responders),control,2,4,8,12,12,12,0,4,8,12,12,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,29 weeks total,"Screening, Baseline, C1D1, C1D8, C2D1, C2D8, Surgery (Week 11), C3D1, C3D8, C4D1, C4D8, C5D1, C5D8, C6D1, C6D8",Screening and baseline assessments occur over 2 separate days; MAP cycles are 3 weeks duration based on standard osteosarcoma protocols; Treatment continues for total 29 weeks as stated in protocol summary; Surgical resection at Week 11 counts as 1 healthcare contact day; Standard imaging and lab monitoring assumed at baseline
27569442,MAPifn (Good Responders),intervention,2,4,8,12,18,24,0,4,8,12,18,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,104 weeks total,"Screening, Baseline, MAP cycles (C1D1, C1D8, C2D1, C2D8, Surgery, C3D1, C3D8, C4D1, C4D8, C5D1, C5D8, C6D1, C6D8) + weekly interferon visits from Week 30-104",Screening and baseline assessments occur over 2 separate days; MAP cycles are 3 weeks duration; Pegylated interferon maintenance continues weekly for 104 weeks total; Interferon administration requires weekly in-person visits; Surgical resection at Week 11 counts as 1 healthcare contact day; Standard imaging and lab monitoring assumed at baseline
27569442,MAP (Poor Responders),control,2,4,8,12,12,12,0,4,8,12,12,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,29 weeks total,"Screening, Baseline, C1D1, C1D8, C2D1, C2D8, Surgery (Week 11), C3D1, C3D8, C4D1, C4D8, C5D1, C5D8, C6D1, C6D8",Screening and baseline assessments occur over 2 separate days; MAP cycles are 3 weeks duration; Treatment continues for total 29 weeks as stated; Surgical resection at Week 11 counts as 1 healthcare contact day; Standard imaging and lab monitoring assumed at baseline
