window,filename,intervention,diff,abs_diff
screening_window,37104748,intervention,-4.0,4.0
screening_window,37478390,intervention,-4.0,4.0
1_month,36541957,control,5.0,5.0
1_month,36541957,intervention,4.0,4.0
1_month,36764316,control,4.0,4.0
1_month,37069359,control,-5.0,5.0
1_month,37069359,intervention,-5.0,5.0
1_month,37875143,control,9.0,9.0
1_month,37875143,intervention,9.0,9.0
1_month,37980924,control,-24.0,24.0
1_month,37980924,intervention,-24.0,24.0
3_months,35704479,intervention,5.0,5.0
3_months,35922251,control,12.0,12.0
3_months,36265504,intervention,9.0,9.0
3_months,36308441,control,-6.0,6.0
3_months,36308441,intervention,-6.0,6.0
3_months,36541957,control,15.0,15.0
3_months,36541957,intervention,15.0,15.0
3_months,36669140,intervention,-7.0,7.0
3_months,36764316,control,9.0,9.0
3_months,36764316,intervention,5.0,5.0
3_months,37423228,control,6.0,6.0
3_months,37478390,intervention,5.0,5.0
3_months,37604981,intervention,-6.0,6.0
3_months,37708904,intervention,6.0,6.0
3_months,37875143,control,20.0,20.0
3_months,37875143,intervention,20.0,20.0
3_months,37935977,intervention,-5.0,5.0
3_months,37980924,control,-25.0,25.0
3_months,37980924,intervention,-25.0,25.0
3_months,38039991,control,5.0,5.0
3_months,38039991,intervention,5.0,5.0
3_months,38159809,intervention,-5.0,5.0
3_months,38648575,control,-6.0,6.0
3_months,38648575,intervention,-6.0,6.0
6_months,35660812,intervention,-5.0,5.0
6_months,35704479,intervention,6.0,6.0
6_months,35922251,control,32.0,32.0
6_months,36265504,intervention,17.0,17.0
6_months,36308441,control,-14.0,14.0
6_months,36308441,intervention,-14.0,14.0
6_months,36541957,control,15.0,15.0
6_months,36541957,intervention,15.0,15.0
6_months,36669140,intervention,-12.0,12.0
6_months,36764316,control,18.0,18.0
6_months,36764316,intervention,10.0,10.0
6_months,36795891,control,-4.0,4.0
6_months,36795891,intervention,-4.0,4.0
6_months,37423228,control,13.0,13.0
6_months,37478390,intervention,8.0,8.0
6_months,37604981,intervention,-9.0,9.0
6_months,37708904,intervention,13.0,13.0
6_months,37875143,control,36.0,36.0
6_months,37875143,intervention,36.0,36.0
6_months,37980924,control,-25.0,25.0
6_months,37980924,intervention,-25.0,25.0
6_months,38039993,control,8.0,8.0
6_months,38039993,intervention,8.0,8.0
6_months,38159809,intervention,-10.0,10.0
6_months,38648575,control,-10.0,10.0
6_months,38648575,intervention,-13.0,13.0
9_months,35704479,intervention,6.0,6.0
9_months,35922251,control,44.0,44.0
9_months,36265504,intervention,19.0,19.0
9_months,36308441,control,-14.0,14.0
9_months,36308441,intervention,-14.0,14.0
9_months,36322844,intervention,-4.0,4.0
9_months,36541957,control,15.0,15.0
9_months,36541957,intervention,15.0,15.0
9_months,36669140,intervention,-16.0,16.0
9_months,36764316,control,26.0,26.0
9_months,36764316,intervention,14.0,14.0
9_months,36795891,control,-8.0,8.0
9_months,36795891,intervention,-8.0,8.0
9_months,36996380,intervention,4.0,4.0
9_months,37423228,control,20.0,20.0
9_months,37478390,intervention,11.0,11.0
9_months,37604981,intervention,-9.0,9.0
9_months,37708904,intervention,20.0,20.0
9_months,37748693,control,5.0,5.0
9_months,37875143,control,52.0,52.0
9_months,37875143,intervention,52.0,52.0
9_months,37980924,control,-25.0,25.0
9_months,37980924,intervention,-25.0,25.0
9_months,38039993,control,13.0,13.0
9_months,38039993,intervention,13.0,13.0
9_months,38159809,intervention,-14.0,14.0
9_months,38648575,control,-15.0,15.0
9_months,38648575,intervention,-19.0,19.0
12_months,30516102,control,-5.0,5.0
12_months,30516102,intervention,-5.0,5.0
12_months,35704479,intervention,6.0,6.0
12_months,35922251,control,54.0,54.0
12_months,36265504,intervention,19.0,19.0
12_months,36308441,control,-14.0,14.0
12_months,36308441,intervention,-14.0,14.0
12_months,36322844,intervention,-4.0,4.0
12_months,36541957,control,15.0,15.0
12_months,36541957,intervention,15.0,15.0
12_months,36669140,intervention,-9.0,9.0
12_months,36764316,control,36.0,36.0
12_months,36764316,intervention,19.0,19.0
12_months,36795891,control,-11.0,11.0
12_months,36795891,intervention,-11.0,11.0
12_months,36996380,intervention,6.0,6.0
12_months,37080222,control,4.0,4.0
12_months,37080222,intervention,4.0,4.0
12_months,37423228,control,25.0,25.0
12_months,37478390,intervention,14.0,14.0
12_months,37604981,intervention,-8.0,8.0
12_months,37708904,intervention,26.0,26.0
12_months,37748693,control,6.0,6.0
12_months,37875143,control,72.0,72.0
12_months,37875143,intervention,72.0,72.0
12_months,37980924,control,-25.0,25.0
12_months,37980924,intervention,-25.0,25.0
12_months,38039993,control,18.0,18.0
12_months,38039993,intervention,18.0,18.0
12_months,38159809,intervention,-18.0,18.0
12_months,38320161,control,4.0,4.0
12_months,38320161,intervention,4.0,4.0
12_months,38499457,control,-8.0,8.0
12_months,38648575,control,-19.0,19.0
12_months,38648575,intervention,-25.0,25.0
