filename,arm_name,intervention_type,screening_window,1_month,3_months,6_months,9_months,12_months,core_treatment_screening_window,core_treatment_1_month,core_treatment_3_months,core_treatment_6_months,core_treatment_9_months,core_treatment_12_months,imaging_diagnostics_screening_window,imaging_diagnostics_1_month,imaging_diagnostics_3_months,imaging_diagnostics_6_months,imaging_diagnostics_9_months,imaging_diagnostics_12_months,labs_screening_window,labs_1_month,labs_3_months,labs_6_months,labs_9_months,labs_12_months,clinic_visits_screening_window,clinic_visits_1_month,clinic_visits_3_months,clinic_visits_6_months,clinic_visits_9_months,clinic_visits_12_months,cycle_length_days,treatment_duration_rule,visit_pattern,assumptions
30516102,Trastuzumab emtansine,intervention,1,1,6,10,14,16,0,1,5,9,13,14,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21,"14 cycles (294 days) or until progression/unacceptable toxicity, followed by a Study Drug Completion Visit.","Screening (1 day), then 14 cycles of q3w infusions (Day 1 of each cycle). One additional ECHO/MUGA visit in Cycle 2. Study Drug Completion Visit approximately 30 days after the last dose.","All screening procedures listed for 'Day -30 to -1' are assumed to occur on a single contact day within the screening window.; The 'Cycles 1 and 2 Day 14-21' ECHO/MUGA visit is assumed to occur on Day 35 (C2D14).; The 'Study Drug Completion Visit' is assumed to occur on Day 324 (Day 294 + 30 days).; PK/ATA samples are excluded from mandatory contact days as footnote 'a' on page 136 indicates they are collected in approximately 50% of patients, implying they are part of an optional sub-study.; Follow-up visits scheduled after Day 365 are not included in the 12-month window count."
30516102,Trastuzumab,control,1,1,6,10,14,16,0,1,5,9,13,14,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21,"14 cycles (294 days) or until progression/unacceptable toxicity, followed by a Study Drug Completion Visit.","Screening (1 day), then 14 cycles of q3w infusions (Day 1 of each cycle). One additional ECHO/MUGA visit in Cycle 2. Study Drug Completion Visit approximately 30 days after the last dose.","All screening procedures listed for 'Day -30 to -1' are assumed to occur on a single contact day within the screening window.; The 'Cycles 1 and 2 Day 14-21' ECHO/MUGA visit is assumed to occur on Day 35 (C2D14).; The 'Study Drug Completion Visit' is assumed to occur on Day 324 (Day 294 + 30 days).; PK/ATA samples are excluded from mandatory contact days as footnote 'a' on page 136 indicates they are collected in approximately 50% of patients, implying they are part of an optional sub-study.; Follow-up visits scheduled after Day 365 are not included in the 12-month window count."
35660812,Arm A,intervention,2,7,17,25,39,49,0,7,17,25,38,38,1,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0,0,RVD cycles: 21 days; Maintenance cycles: 28 days,until disease progression,"Screening (2 days); RVD Cycles 1-3 (4 days/cycle, 21-day cycle length); PBSC Mobilization (6 days); RVD Cycles 4-8 (4 days/cycle, 21-day cycle length); Maintenance (weekly for 8 weeks, then bi-weekly for 8 weeks, then monthly).","Screening procedures marked 'X' in the table (page 111/222) are assumed to occur on one dedicated screening day (Day -X), with the exception of the second pre-C1D1 pregnancy test which is explicitly stated to occur 'within 24 hours prior to initiation of lenalidomide' (Day -1) and counted as a separate contact day.; Oral drug administrations (Lenalidomide, Dexamethasone) are not counted as in-person contact days unless other trial-mandated procedures (marked 'X' in the tables) are scheduled on the same day.; For RVD cycles, only days explicitly marked 'X' in the 'Treatment Days' columns (Day 1, 4, 8, 11) are counted as contact days. Bortezomib is administered IV on these days, making them core_treatment days.; PBSC Mobilization: Cyclophosphamide IV administration is one contact day. PBSC collection is assumed to require 5 daily in-person visits for apheresis and G-CSF administration/monitoring.; PBSC Transplant (Arm B): Melphalan administration (2 days), PBSC reinfusion (1 day), and subsequent inpatient care for G-CSF administration/monitoring (6 days) are all considered in-person contact days, totaling 9 days for the transplant period.; Maintenance Therapy: The footnote on page 115/225 (new version) regarding maintenance visit frequency ('weekly for the first 2 months, once every 2 weeks for the next 2 months, and once a month thereafter') is used to determine contact days, as it specifies mandated monitoring frequency. All maintenance visits are categorized as 'labs' due to required blood draws and other assessments.; Timing of phases: Mobilization is assumed to start on Day 86 (21 days after C3D14, which is Day 52+13=Day 65). Consolidation for Arm A is assumed to start on Day 151 (60 days after mobilization ends on Day 91). Consolidation for Arm B is assumed to start on Day 165 (60 days after transplant Day 0, which is Day 105). Maintenance starts 21 days after the last consolidation cycle for both arms.; Overlap of procedures on a single day: The tie-breaker precedence (core_treatment > imaging_diagnostics > labs > clinic_visits) is applied."
35660812,Arm B,intervention,2,7,17,31,44,49,0,7,17,31,35,35,1,0,0,0,0,0,1,0,0,0,9,14,0,0,0,0,0,0,RVD cycles: 21 days; Maintenance cycles: 28 days,until disease progression,"Screening (2 days); RVD Cycles 1-3 (4 days/cycle, 21-day cycle length); PBSC Mobilization (6 days); PBSC Transplant (9 days); RVD Cycles 4-5 (4 days/cycle, 21-day cycle length); Maintenance (weekly for 8 weeks, then bi-weekly for 8 weeks, then monthly).","Screening procedures marked 'X' in the table (page 111/222) are assumed to occur on one dedicated screening day (Day -X), with the exception of the second pre-C1D1 pregnancy test which is explicitly stated to occur 'within 24 hours prior to initiation of lenalidomide' (Day -1) and counted as a separate contact day.; Oral drug administrations (Lenalidomide, Dexamethasone) are not counted as in-person contact days unless other trial-mandated procedures (marked 'X' in the tables) are scheduled on the same day.; For RVD cycles, only days explicitly marked 'X' in the 'Treatment Days' columns (Day 1, 4, 8, 11) are counted as contact days. Bortezomib is administered IV on these days, making them core_treatment days.; PBSC Mobilization: Cyclophosphamide IV administration is one contact day. PBSC collection is assumed to require 5 daily in-person visits for apheresis and G-CSF administration/monitoring.; PBSC Transplant (Arm B): Melphalan administration (2 days), PBSC reinfusion (1 day), and subsequent inpatient care for G-CSF administration/monitoring (6 days) are all considered in-person contact days, totaling 9 days for the transplant period.; Maintenance Therapy: The footnote on page 115/225 (new version) regarding maintenance visit frequency ('weekly for the first 2 months, once every 2 weeks for the next 2 months, and once a month thereafter') is used to determine contact days, as it specifies mandated monitoring frequency. All maintenance visits are categorized as 'labs' due to required blood draws and other assessments.; Timing of phases: Mobilization is assumed to start on Day 86 (21 days after C3D14, which is Day 52+13=Day 65). Consolidation for Arm A is assumed to start on Day 151 (60 days after mobilization ends on Day 91). Consolidation for Arm B is assumed to start on Day 165 (60 days after transplant Day 0, which is Day 105). Maintenance starts 21 days after the last consolidation cycle for both arms.; Overlap of procedures on a single day: The tie-breaker precedence (core_treatment > imaging_diagnostics > labs > clinic_visits) is applied."
35704479,Active Monitoring Arm,control,1,1,1,2,2,3,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,180,5 years follow-up (or until cancer diagnosis/death),"Screening (Day -28), Randomization (Day 0), then 6-monthly visits (Day 180, 360, etc.)","Visit 0 (Screening) is placed at Day -28 for calculation purposes, falling within the screening window.; Visit 1 (Randomization) is anchored at Day 0.; Subsequent routine visits (Visits 2, 3, etc.) occur every 6 months (Day 180, Day 360, etc.).; For any given day, the highest priority category among all procedures performed on that day is assigned to the contact day.; Anal biopsy and High Resolution Anoscopy (HRA) are categorized as imaging_diagnostics.; HIV viral load/CD4 level and Anal biopsy are performed annually (every 12 months) from Visit 2 onwards for the Active Monitoring Arm.; Optional ancillary studies (e.g., SARS-CoV-2 swab) are not counted as trial-mandated contact days."
35704479,Treatment Arm,intervention,1,3,7,9,9,10,0,3,7,7,7,7,1,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,180,until progression/unresponsive to therapy or other criteria (up to 5 years follow-up),"Screening (Day -28), Randomization (Day 0), Interim treatment/re-evaluation visits (Day 21, 30, 42, 56, 63, 84, 112), then 6-monthly visits (Day 180, 360, etc.)","Visit 0 (Screening) is placed at Day -28 for calculation purposes, falling within the screening window.; Visit 1 (Randomization) is anchored at Day 0.; The 'Treatment Arm' encompasses multiple modalities (Imiquimod/5-FU, TCA, IRC/Hyfrecation/Laser, Surgery). The contact days are calculated by taking the maximum number of unique in-person days across all these modalities within each time window, and assigning the highest priority category for that day.; For Imiquimod/5-FU, the initial application demonstration at Visit 1 is a core_treatment day. Subsequent 8-week (Day 56) and 16-week (Day 112) re-examinations are for toxicity/tolerability assessment (imaging_diagnostics, due to HRA/biopsy).; For TCA, applications are clinician-applied and occur every 3 weeks for up to 4 times within 12 weeks (Day 21, 42, 63, 84), each counted as a core_treatment day.; For IRC/Hyfrecation/Laser, initial treatment at Visit 1 is a core_treatment day. Re-treatment within 8 weeks (Day 56) is assumed as a core_treatment day.; For Surgery (TUA), scheduling at Visit 1 is a clinic_visits activity, but the surgery itself is assumed to occur around Day 30 (within 2 months of V1) and is a core_treatment day. A re-evaluation visit at 8 weeks (Day 56) is assumed for assessment (imaging_diagnostics).; For any given day where multiple treatment modalities might have a visit, the highest priority category is assigned (e.g., core_treatment takes precedence over imaging_diagnostics).; Routine follow-up visits (Visits 2, 3, etc.) occur every 6 months (Day 180, Day 360, etc.).; Anal biopsy and High Resolution Anoscopy (HRA) are categorized as imaging_diagnostics.; Anal biopsy is performed every 6 months for the Treatment Arm.; HIV viral load/CD4 level is performed annually (every 12 months) from Visit 2 onwards for the Treatment Arm.; Optional ancillary studies (e.g., SARS-CoV-2 swab) are not counted as trial-mandated contact days."
35759733,Regimen I: CT-2103 (135mg/m²),intervention,1,2,7,14,20,24,0,1,4,7,10,12,1,0,0,0,0,0,0,1,3,7,10,12,0,0,0,0,0,0,28,12 monthly cycles (12 months),"1 screening visit. 12 treatment visits (Day 0, 28, 56, ..., 308). 12 nadir lab visits (approx. Day 10, 38, 66, ..., 318).","All 'Prior to Study' assessments (History, Physical Exam, QOL, Labs, Imaging) are consolidated into a single in-person screening day. This day is categorized as imaging_diagnostics due to precedence (CT scan, X-ray, EKG).; Routine assessments listed under 'Prior to Each Course' (History, Physical Exam, CBC, Platelets, Creatinine, Bilirubin, CA-125) are assumed to be performed on the same day as the chemotherapy infusion (Day 0, 28, 56, etc.). These days are categorized as core_treatment.; Nadir labs (CBC & Differential, Platelets) are assumed to occur on a separate visit around Day 10 of each 28-day cycle (e.g., Day 10, 38, 66, etc.), as indicated by the 'Nadir (8-12 days)' column. These are categorized as labs.; Conditional visits (e.g., CT scans for symptomatic changes, Coagulation Profile for abnormal parameters) are excluded from the routine contact day count.; Quality of Life (QOL) assessments (Footnote 7) are assumed to be performed on existing contact days (screening, Day 56, 112, 168, 308).; Pre-Cycle Serum (SB01, SB02) and Whole Blood (WB01) specimen collections are assumed to be consolidated with existing contact days (screening or Day 0 for SB01/WB01, Day 28 for SB02)."
35759733,Regimen II: Paclitaxel (135mg/m²),intervention,1,2,7,14,20,24,0,1,4,7,10,12,1,0,0,0,0,0,0,1,3,7,10,12,0,0,0,0,0,0,28,12 monthly cycles (12 months),"1 screening visit. 12 treatment visits (Day 0, 28, 56, ..., 308). 12 nadir lab visits (approx. Day 10, 38, 66, ..., 318).","All 'Prior to Study' assessments (History, Physical Exam, QOL, Labs, Imaging) are consolidated into a single in-person screening day. This day is categorized as imaging_diagnostics due to precedence (CT scan, X-ray, EKG).; Routine assessments listed under 'Prior to Each Course' (History, Physical Exam, CBC, Platelets, Creatinine, Bilirubin, CA-125) are assumed to be performed on the same day as the chemotherapy infusion (Day 0, 28, 56, etc.). These days are categorized as core_treatment.; Nadir labs (CBC & Differential, Platelets) are assumed to occur on a separate visit around Day 10 of each 28-day cycle (e.g., Day 10, 38, 66, etc.), as indicated by the 'Nadir (8-12 days)' column. These are categorized as labs.; Conditional visits (e.g., CT scans for symptomatic changes, Coagulation Profile for abnormal parameters) are excluded from the routine contact day count.; Quality of Life (QOL) assessments (Footnote 7) are assumed to be performed on existing contact days (screening, Day 56, 112, 168, 308).; Pre-Cycle Serum (SB01, SB02) and Whole Blood (WB01) specimen collections are assumed to be consolidated with existing contact days (screening or Day 0 for SB01/WB01, Day 28 for SB02)."
35759733,Regimen III: No anti-cancer treatment,control,1,2,4,7,10,12,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,7,10,12,0,0,0,0,0,0,30,until disease progression (monthly surveillance for 12 months for calculation purposes),"1 screening visit. 12 monthly surveillance visits (Day 0, 30, 60, ..., 330).","All 'Prior to Study' assessments (History, Physical Exam, QOL, Labs, Imaging) are consolidated into a single in-person screening day. This day is categorized as imaging_diagnostics due to precedence (CT scan, X-ray, EKG).; Monthly surveillance visits (Day 0, 30, 60, etc.) include History, Physical Exam, and routine labs (CBC, Platelets, Creatinine, Bilirubin, CA-125). These days are categorized as labs due to precedence (blood draws over H&P/QOL).; Nadir labs are not applicable for Regimen III as there is no anti-cancer treatment.; Conditional visits (e.g., CT scans for symptomatic changes, Coagulation Profile for abnormal parameters) are excluded from the routine contact day count.; Quality of Life (QOL) assessments (Footnote 7) are assumed to be performed on existing monthly surveillance days (screening, Day 60, 120, 180, 360).; Pre-Cycle Serum (SB01, SB02) and Whole Blood (WB01) specimen collections are assumed to be consolidated with existing contact days (screening or Day 0 for SB01/WB01, Day 30 for SB02).; Although treatment is 'until progression', monthly surveillance visits are counted up to Day 330 (12th monthly visit) to cover the 12-month window, consistent with 'monthly during 1st year'."
35763704,Atezolizumab + ddAC-PacHP,intervention,1,3,10,20,25,30,0,3,10,19,23,27,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,Cycles 1-4: 14 days; Cycles 5-22: 21 days,Atezolizumab/placebo for max 22 cycles; HER2-targeted therapy for 52 weeks from C5D1; Paclitaxel for 12 weeks (C5-8).,"Screening (1 day); Neoadjuvant Phase (Cycles 1-4: Day 1 of 14-day cycles; Cycles 5-8: Day 1, Day 8, Day 15 of 21-day cycles); Pre-Surgery Visit; Surgery; Adjuvant Phase (Cycles 9-18: Day 1 of 21-day cycles); Standalone ECHO/MUGA visits.","All screening procedures are consolidated into a single in-person visit day.; The pre-surgery visit is a separate in-person day from the surgery day.; Standalone ECHO/MUGA scans (every 3 months during treatment) are counted as separate in-person contact days if they do not coincide with a scheduled treatment infusion day.; Infusion days for atezolizumab/placebo, chemotherapy, and HER2-targeted therapy are categorized as 'core_treatment'.; Biopsies (tumor tissue sample, pathologic response assessment) and imaging (mammogram, tumor staging, ECHO/MUGA, ECG) are categorized as 'imaging_diagnostics'.; All lab collections requiring in-person attendance are categorized as 'labs'.; All other general assessments (consent, history, physical exam, vital signs, weight, PROs, concomitant meds, AE) are categorized as 'clinic_visits'.; Category precedence (core_treatment > imaging_diagnostics > labs > clinic_visits) was applied for days with multiple procedures."
35763704,Placebo + ddAC-PacHP,control,1,3,10,20,25,30,0,3,10,19,23,27,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,Cycles 1-4: 14 days; Cycles 5-22: 21 days,Atezolizumab/placebo for max 22 cycles; HER2-targeted therapy for 52 weeks from C5D1; Paclitaxel for 12 weeks (C5-8).,"Screening (1 day); Neoadjuvant Phase (Cycles 1-4: Day 1 of 14-day cycles; Cycles 5-8: Day 1, Day 8, Day 15 of 21-day cycles); Pre-Surgery Visit; Surgery; Adjuvant Phase (Cycles 9-18: Day 1 of 21-day cycles); Standalone ECHO/MUGA visits.","All screening procedures are consolidated into a single in-person visit day.; The pre-surgery visit is a separate in-person day from the surgery day.; Standalone ECHO/MUGA scans (every 3 months during treatment) are counted as separate in-person contact days if they do not coincide with a scheduled treatment infusion day.; Infusion days for atezolizumab/placebo, chemotherapy, and HER2-targeted therapy are categorized as 'core_treatment'.; Biopsies (tumor tissue sample, pathologic response assessment) and imaging (mammogram, tumor staging, ECHO/MUGA, ECG) are categorized as 'imaging_diagnostics'.; All lab collections requiring in-person attendance are categorized as 'labs'.; All other general assessments (consent, history, physical exam, vital signs, weight, PROs, concomitant meds, AE) are categorized as 'clinic_visits'.; Category precedence (core_treatment > imaging_diagnostics > labs > clinic_visits) was applied for days with multiple procedures."
35922251,Cemiplimab (experimental),intervention,1,1,6,14,20,26,0,1,4,10,14,18,1,0,2,4,5,6,0,0,0,0,0,0,0,0,0,0,1,2,42,up to 96 weeks (16 cycles of 6 weeks each),"Screening (Day -28 to -1). Treatment cycles (42 days each) with visits on Day 1, Day 22, and Day 42. Cemiplimab infusion on Day 1 and Day 22. CT/MRI on Day 42 of specific cycles.","Screening is considered a single in-person contact day, distinct from Cycle 1 Day 1, as per footnote 6.; Optional procedures (Genomics sub-study, PBMC, Genomic DNA sample) were excluded from contact day counts.; For days with multiple procedures, the tie-breaker precedence was applied: core_treatment > imaging_diagnostics > labs > clinic_visits.; CT/MRI for Cemiplimab arm occurs on Day 42 of cycles 1-4, 6, 8, 10, 12, 14, and 16. For cycles without CT/MRI (e.g., C5, C7), Day 42 is counted as a clinic_visit due to concomitant medications/procedures."
35922251,IC Chemotherapy (Topotecan),control,1,5,22,54,76,98,0,5,20,50,70,90,1,0,2,4,5,6,0,0,0,0,0,0,0,0,0,0,1,2,42,up to 96 weeks (16 cycles of 6 weeks each),Screening (Day -28 to -1). Treatment cycles (42 days each) with Topotecan infusions on Day 1-5 and Day 22-26. Additional visits on Day 42 for CT/MRI or other assessments.,"Screening is considered a single in-person contact day, distinct from Cycle 1 Day 1, as per footnote 6.; For the 'IC Chemotherapy control arm', Topotecan was selected as the representative regimen due to its higher frequency of treatment days (10 days per 42-day cycle) compared to other IC options, providing a conservative estimate of contact days.; For days with multiple procedures, the tie-breaker precedence was applied: core_treatment > imaging_diagnostics > labs > clinic_visits.; Topotecan infusion is administered daily for 5 consecutive days (Day 1-5 and Day 22-26) within each 42-day cycle, counted as 5 distinct core_treatment days for each block.; Vital signs, weight (Day 1 of cycle only), physical exams (complete on Day 1, limited on Day 22), hematology, blood chemistry, pregnancy test (Day 1 of cycle only), EORTC QLQ-C30 (Day 1 of cycle only), concomitant medications, and concomitant procedures are assumed to occur on the specified treatment days.; CT/MRI for IC Chemotherapy arm occurs on Day 42 of cycles 1-4, 6, 8, 10, 12, 14, and 16. For cycles without CT/MRI (e.g., C5, C7), Day 42 is counted as a clinic_visit due to concomitant medications/procedures."
36108662,Pembrolizumab Arm,intervention,4,2,5,9,13,18,0,2,5,9,13,18,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,"18 infusions (approximately one year), with follow-up until progression.","Screening visits include consent, physical exam, baseline imaging, and labs. Treatment involves IV infusions every 3 weeks for 18 cycles, with associated physical exams, AE assessments, hematology, serum chemistry, concomitant medication assessments, pregnancy tests, and on specific cycles: PK/ADA samples, thyroid function, urinalysis, HRQoL, and disease evaluation imaging.","Both treatment arms follow the same schedule of events.; Randomization is not an in-person contact day.; The 'Main Study' informed consent, demographics, medical history, physical exam, ECOG PS, HRQoL, PD-L1 testing, and baseline disease evaluation (CT chest/abdomen, brain CT/MRI) are performed on a single day within the 'Within 12 weeks prior to randomization' period (set to Day -28).; Hematology and serum chemistry are performed on a single day within 'Within 10 days prior to treatment initiation' (set to Day -10).; Pregnancy test is performed on a single day within 'Within 72 hours prior to treatment initiation' (set to Day -3).; PK/ADA samples for Infusion 1 are collected on a single day within 'Within 24 hours prior to treatment initiation' (set to Day -1).; All 'if clinically indicated' procedures (e.g., HIV/HBV/HCV serology, brain CT/MRI during treatment) are excluded from mandatory contact day counts.; All procedures on an infusion day are subsumed under 'core_treatment' due to the IV infusion taking precedence.; The End of Treatment (EoT) visit, scheduled 4 weeks after the last infusion (Day 357), falls outside the 12-month window (Day +365) and is therefore not counted.; Follow-up visits after treatment completion are not counted within the 12-month window as the first scheduled follow-up imaging/HRQoL/Thyroid (every 6 months in year 2) occurs after Day +365."
36108662,Placebo Arm,control,4,2,5,9,13,18,0,2,5,9,13,18,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,"18 infusions (approximately one year), with follow-up until progression.","Screening visits include consent, physical exam, baseline imaging, and labs. Treatment involves IV infusions every 3 weeks for 18 cycles, with associated physical exams, AE assessments, hematology, serum chemistry, concomitant medication assessments, pregnancy tests, and on specific cycles: PK/ADA samples, thyroid function, urinalysis, HRQoL, and disease evaluation imaging.","Both treatment arms follow the same schedule of events.; Randomization is not an in-person contact day.; The 'Main Study' informed consent, demographics, medical history, physical exam, ECOG PS, HRQoL, PD-L1 testing, and baseline disease evaluation (CT chest/abdomen, brain CT/MRI) are performed on a single day within the 'Within 12 weeks prior to randomization' period (set to Day -28).; Hematology and serum chemistry are performed on a single day within 'Within 10 days prior to treatment initiation' (set to Day -10).; Pregnancy test is performed on a single day within 'Within 72 hours prior to treatment initiation' (set to Day -3).; PK/ADA samples for Infusion 1 are collected on a single day within 'Within 24 hours prior to treatment initiation' (set to Day -1).; All 'if clinically indicated' procedures (e.g., HIV/HBV/HCV serology, brain CT/MRI during treatment) are excluded from mandatory contact day counts.; All procedures on an infusion day are subsumed under 'core_treatment' due to the IV infusion taking precedence.; The End of Treatment (EoT) visit, scheduled 4 weeks after the last infusion (Day 357), falls outside the 12-month window (Day +365) and is therefore not counted.; Follow-up visits after treatment completion are not counted within the 12-month window as the first scheduled follow-up imaging/HRQoL/Thyroid (every 6 months in year 2) occurs after Day +365."
36155117,Arm A: Palbociclib + Letrozole,intervention,2,4,8,11,14,18,0,0,0,0,0,0,1,3,6,9,12,16,0,1,2,2,2,2,1,0,0,0,0,0,28,until progression,"Screening (1 day for assessments, 1 day for randomization), Cycle 1 (Day 1, Day 14, Day 21), Cycle 2 (Day 1, Day 14, Day 21), Cycles ≥3 (Day 1 only). Disease assessments (CT/MRI every 12 weeks, Bone Scan every 24 weeks) and Ophthalmic exams (C4D1, C7D1, C13D1) are integrated into Day 1 visits of relevant cycles.","All screening assessments (excluding randomization) are assumed to occur on a single contact day within the screening window.; Randomization is assumed to be a separate in-person contact day within the screening window (e.g., Day -1), distinct from the main screening assessment day, as per 'Baseline split' rule.; Procedures marked 'X' in the Schedule of Activities table are considered in-person contact days unless explicitly stated as optional, telephone, or home-based.; Conditional visits (e.g., 'if not completed at screening') are assumed to occur if they are part of the standard schedule and no explicit prior completion is guaranteed.; Oral drug administration (Palbociclib/Placebo, Letrozole) is not counted as a contact day.; Disease assessments (CT/MRI, Bone Scan) are performed at Screening and then every 12/24 weeks from randomization (Day 0). If a visit day coincides with a scheduled disease assessment, it is counted as one contact day and categorized by the highest precedence procedure.; The 'Cycles 1 and 2 Day 14' column for Hematology is assumed to be an in-person contact day as per the table, despite footnote 'a' for Table 4 primarily mentioning C1D14 and C1D21 for initial monitoring and then C2D1 and C2D21 for subsequent monitoring, and 'monthly monitoring at the beginning of each cycle'. The table explicitly marks C2D14 with an 'X' for Hematology and 12-Lead ECG, which is followed.; Fasting Insulin and Fasting Lipid Panel are only collected at C1D1 and C1D21 (for Fasting Insulin) as per the table, and not in subsequent cycles, as no 'X' is present in 'Cycles >=3 Day 1' column."
36155117,Arm B: Placebo + Letrozole,control,2,4,8,11,14,18,0,0,0,0,0,0,1,3,6,9,12,16,0,1,2,2,2,2,1,0,0,0,0,0,28,until progression,"Screening (1 day for assessments, 1 day for randomization), Cycle 1 (Day 1, Day 14, Day 21), Cycle 2 (Day 1, Day 14, Day 21), Cycles ≥3 (Day 1 only). Disease assessments (CT/MRI every 12 weeks, Bone Scan every 24 weeks) and Ophthalmic exams (C4D1, C7D1, C13D1) are integrated into Day 1 visits of relevant cycles.","All screening assessments (excluding randomization) are assumed to occur on a single contact day within the screening window.; Randomization is assumed to be a separate in-person contact day within the screening window (e.g., Day -1), distinct from the main screening assessment day, as per 'Baseline split' rule.; Procedures marked 'X' in the Schedule of Activities table are considered in-person contact days unless explicitly stated as optional, telephone, or home-based.; Conditional visits (e.g., 'if not completed at screening') are assumed to occur if they are part of the standard schedule and no explicit prior completion is guaranteed.; Oral drug administration (Palbociclib/Placebo, Letrozole) is not counted as a contact day.; Disease assessments (CT/MRI every 12 weeks, Bone Scan every 24 weeks) are performed at Screening and then every 12/24 weeks from randomization (Day 0). If a visit day coincides with a scheduled disease assessment, it is counted as one contact day and categorized by the highest precedence procedure.; The 'Cycles 1 and 2 Day 14' column for Hematology is assumed to be an in-person contact day as per the table, despite footnote 'a' for Table 4 primarily mentioning C1D14 and C1D21 for initial monitoring and then C2D1 and C2D21 for subsequent monitoring, and 'monthly monitoring at the beginning of each cycle'. The table explicitly marks C2D14 with an 'X' for Hematology and 12-Lead ECG, which is followed.; Fasting Insulin and Fasting Lipid Panel are only collected at C1D1 and C1D21 (for Fasting Insulin) as per the table, and not in subsequent cycles, as no 'X' is present in 'Cycles >=3 Day 1' column."
36162037,Arm A: nivolumab 240 mg IV every 2 weeks + ipilimumab 1 mg/kg IV every 6 weeks,intervention,1,3,7,13,20,25,0,3,7,13,20,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,maximum of 1 year total duration of study medication,Nivolumab infusion every 2 weeks (Q2W) and Ipilimumab infusion every 6 weeks (Q6W). Overlapping infusions occur on the same day. All other assessments coincide with these infusion visits.,"The 'Screening Visit' listed in Table 2-1 is counted as 1 in-person contact day. The highest-priority procedure on this day is 'Tumor Tissue Samples' (diagnostic biopsy for PD-L1 status) or 'Electrocardiogram (ECG)', both categorized as imaging_diagnostics.; All visits involving administration of active study drug (nivolumab or ipilimumab) are considered in-person 'core_treatment' days. When multiple infusions occur on the same day, it counts as one 'core_treatment' day.; All other assessments (safety, labs, imaging, questionnaires, biomarker samples) are assumed to coincide with these infusion visits and are therefore subsumed under the 'core_treatment' category due to precedence rules.; Optional procedures (e.g., optional biopsies, optional microbiome samples) are not counted as mandatory contact days.; Treatment duration is for a maximum of 1 year (365 days) from Day 0. Follow-up visits occurring after Day 365 are not included in the 12-month window."
36162037,Arm B: nivolumab 480 mg IV every 4 weeks,control,1,3,7,13,20,25,0,3,7,13,20,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,maximum of 1 year total duration of study medication,"Nivolumab infusion every 4 weeks (Q4W), Nivolumab placebo every 4 weeks (offset by 2 weeks), and Ipilimumab placebo every 6 weeks (Q6W). Overlapping infusions occur on the same day. All other assessments coincide with these infusion/placebo infusion visits.","The 'Screening Visit' listed in Table 2-1 is counted as 1 in-person contact day. The highest-priority procedure on this day is 'Tumor Tissue Samples' (diagnostic biopsy for PD-L1 status) or 'Electrocardiogram (ECG)', both categorized as imaging_diagnostics.; All visits involving administration of active study drug (nivolumab) or placebo (nivolumab placebo, ipilimumab placebo) are considered in-person 'core_treatment' days, as placebo administration is mandated to maintain blinding. When multiple infusions (active or placebo) occur on the same day, it counts as one 'core_treatment' day.; All other assessments (safety, labs, imaging, questionnaires, biomarker samples) are assumed to coincide with these infusion/placebo infusion visits and are therefore subsumed under the 'core_treatment' category due to precedence rules.; Optional procedures (e.g., optional biopsies, optional microbiome samples) are not counted as mandatory contact days.; Treatment duration is for a maximum of 1 year (365 days) from Day 0. Follow-up visits occurring after Day 365 are not included in the 12-month window."
