category,window,avg_abs_delta
core_treatment,screening_window,0.07865168539325842
core_treatment,1_month,0.7696629213483146
core_treatment,3_months,1.9662921348314606
core_treatment,6_months,3.0786516853932584
core_treatment,9_months,3.8258426966292136
core_treatment,12_months,4.53932584269663
imaging_diagnostics,screening_window,0.23595505617977527
imaging_diagnostics,1_month,0.11235955056179775
imaging_diagnostics,3_months,0.4157303370786517
imaging_diagnostics,6_months,0.898876404494382
imaging_diagnostics,9_months,1.3595505617977528
imaging_diagnostics,12_months,1.853932584269663
labs,screening_window,0.3089887640449438
labs,1_month,0.47752808988764045
labs,3_months,1.1910112359550562
labs,6_months,2.0224719101123596
labs,9_months,2.702247191011236
labs,12_months,3.4775280898876404
clinic_visits,screening_window,0.19101123595505617
clinic_visits,1_month,0.42696629213483145
clinic_visits,3_months,0.8202247191011236
clinic_visits,6_months,1.3764044943820224
clinic_visits,9_months,1.949438202247191
clinic_visits,12_months,2.5112359550561796
