window,filename,intervention,diff,abs_diff
screening_window,36764316,control,4.0,4.0
screening_window,36764316,intervention,4.0,4.0
1_month,31327689,control,-4.0,4.0
1_month,35660812,intervention,7.0,7.0
1_month,36541957,control,-4.0,4.0
1_month,36541957,intervention,-4.0,4.0
1_month,36623230,intervention,4.0,4.0
1_month,37284847,control,15.0,15.0
1_month,37284847,intervention,15.0,15.0
1_month,37604981,control,-6.0,6.0
1_month,37604981,intervention,-6.0,6.0
1_month,37875143,control,-8.0,8.0
1_month,37875143,intervention,-8.0,8.0
3_months,23358972,control,-5.0,5.0
3_months,31327689,control,-5.0,5.0
3_months,35660812,intervention,15.0,15.0
3_months,35665782,intervention,8.0,8.0
3_months,35728048,control,-5.0,5.0
3_months,35728048,intervention,-5.0,5.0
3_months,35922251,control,-8.0,8.0
3_months,35922251,intervention,-4.0,4.0
3_months,36265504,control,-7.0,7.0
3_months,36322844,control,-6.0,6.0
3_months,36322844,intervention,-6.0,6.0
3_months,36327426,control,-8.0,8.0
3_months,36327426,intervention,-8.0,8.0
3_months,36535566,control,-8.0,8.0
3_months,36535566,intervention,-6.0,6.0
3_months,36541957,control,-7.0,7.0
3_months,36541957,intervention,-7.0,7.0
3_months,36623230,intervention,13.0,13.0
3_months,36669140,intervention,-4.0,4.0
3_months,37069359,control,-8.0,8.0
3_months,37069359,intervention,-8.0,8.0
3_months,37080223,control,7.0,7.0
3_months,37080223,intervention,7.0,7.0
3_months,37257422,intervention,5.0,5.0
3_months,37276510,control,7.0,7.0
3_months,37276510,intervention,5.0,5.0
3_months,37284847,control,15.0,15.0
3_months,37284847,intervention,15.0,15.0
3_months,37290035,control,-4.0,4.0
3_months,37290035,intervention,-4.0,4.0
3_months,37478390,intervention,6.0,6.0
3_months,37604981,control,-8.0,8.0
3_months,37604981,intervention,-8.0,8.0
3_months,37792130,control,8.0,8.0
3_months,37792130,intervention,8.0,8.0
3_months,37875143,control,-21.0,21.0
3_months,37875143,intervention,-21.0,21.0
3_months,37935977,intervention,10.0,10.0
3_months,38483412,intervention,-12.0,12.0
3_months,38499457,control,7.0,7.0
3_months,38499457,intervention,7.0,7.0
3_months,38531002,control,-4.0,4.0
3_months,38531002,intervention,-4.0,4.0
6_months,23358972,control,-11.0,11.0
6_months,23358972,intervention,-4.0,4.0
6_months,27569442,control,4.0,4.0
6_months,27569442,intervention,21.0,21.0
6_months,31327689,control,-8.0,8.0
6_months,31327689,intervention,-4.0,4.0
6_months,34087126,control,11.0,11.0
6_months,34087126,intervention,10.0,10.0
6_months,35660812,intervention,43.0,43.0
6_months,35665782,intervention,17.0,17.0
6_months,35728048,control,-5.0,5.0
6_months,35728048,intervention,-5.0,5.0
6_months,35763704,control,4.0,4.0
6_months,35763704,intervention,4.0,4.0
6_months,35922251,control,-17.0,17.0
6_months,35922251,intervention,-13.0,13.0
6_months,36265504,control,-12.0,12.0
6_months,36322844,control,-7.0,7.0
6_months,36322844,intervention,-7.0,7.0
6_months,36327426,control,-7.0,7.0
6_months,36327426,intervention,-8.0,8.0
6_months,36535566,control,-8.0,8.0
6_months,36535566,intervention,-6.0,6.0
6_months,36541957,control,-7.0,7.0
6_months,36541957,intervention,-7.0,7.0
6_months,36623230,intervention,13.0,13.0
6_months,36669140,intervention,-4.0,4.0
6_months,36795891,intervention,5.0,5.0
6_months,36952634,control,-6.0,6.0
6_months,36952634,intervention,-6.0,6.0
6_months,37069359,control,-8.0,8.0
6_months,37069359,intervention,-8.0,8.0
6_months,37080223,control,10.0,10.0
6_months,37080223,intervention,10.0,10.0
6_months,37104748,intervention,5.0,5.0
6_months,37257422,intervention,5.0,5.0
6_months,37276510,control,10.0,10.0
6_months,37276510,intervention,5.0,5.0
6_months,37284847,control,15.0,15.0
6_months,37284847,intervention,15.0,15.0
6_months,37290035,control,-9.0,9.0
6_months,37290035,intervention,-9.0,9.0
6_months,37478390,intervention,13.0,13.0
6_months,37604981,control,-9.0,9.0
6_months,37604981,intervention,-9.0,9.0
6_months,37708904,intervention,4.0,4.0
6_months,37792130,control,16.0,16.0
6_months,37792130,intervention,16.0,16.0
6_months,37875143,control,-38.0,38.0
6_months,37875143,intervention,-38.0,38.0
6_months,37935977,intervention,12.0,12.0
6_months,38039993,control,10.0,10.0
6_months,38039993,intervention,10.0,10.0
6_months,38319255,control,5.0,5.0
6_months,38483412,intervention,-12.0,12.0
6_months,38499457,control,14.0,14.0
6_months,38499457,intervention,14.0,14.0
6_months,38531002,control,-10.0,10.0
6_months,38531002,intervention,-10.0,10.0
6_months,38648575,intervention,4.0,4.0
9_months,23358972,control,-18.0,18.0
9_months,23358972,intervention,-7.0,7.0
9_months,27569442,control,5.0,5.0
9_months,27569442,intervention,25.0,25.0
9_months,31327689,control,-12.0,12.0
9_months,31327689,intervention,-4.0,4.0
9_months,34087126,control,20.0,20.0
9_months,34087126,intervention,20.0,20.0
9_months,35660812,intervention,32.0,32.0
9_months,35665782,intervention,26.0,26.0
9_months,35728048,control,-7.0,7.0
9_months,35728048,intervention,-7.0,7.0
9_months,35922251,control,-27.0,27.0
9_months,35922251,intervention,-22.0,22.0
9_months,36265504,control,-13.0,13.0
9_months,36322844,control,-7.0,7.0
9_months,36322844,intervention,-7.0,7.0
9_months,36327426,control,-5.0,5.0
9_months,36327426,intervention,-8.0,8.0
9_months,36521097,control,-7.0,7.0
9_months,36521097,intervention,-7.0,7.0
9_months,36535566,control,-8.0,8.0
9_months,36535566,intervention,-6.0,6.0
9_months,36541957,control,-7.0,7.0
9_months,36541957,intervention,-7.0,7.0
9_months,36623230,intervention,13.0,13.0
9_months,36669140,intervention,-6.0,6.0
9_months,36764316,control,-6.0,6.0
9_months,36795891,intervention,8.0,8.0
9_months,36952634,control,-10.0,10.0
9_months,36952634,intervention,-10.0,10.0
9_months,37069359,control,-8.0,8.0
9_months,37069359,intervention,-8.0,8.0
9_months,37080223,control,10.0,10.0
9_months,37080223,intervention,10.0,10.0
9_months,37104748,intervention,5.0,5.0
