filename,arm_name,intervention_type,screening_window,1_month,3_months,6_months,9_months,12_months,core_treatment_screening_window,core_treatment_1_month,core_treatment_3_months,core_treatment_6_months,core_treatment_9_months,core_treatment_12_months,imaging_diagnostics_screening_window,imaging_diagnostics_1_month,imaging_diagnostics_3_months,imaging_diagnostics_6_months,imaging_diagnostics_9_months,imaging_diagnostics_12_months,labs_screening_window,labs_1_month,labs_3_months,labs_6_months,labs_9_months,labs_12_months,clinic_visits_screening_window,clinic_visits_1_month,clinic_visits_3_months,clinic_visits_6_months,clinic_visits_9_months,clinic_visits_12_months,cycle_length_days,treatment_duration_rule,visit_pattern,assumptions
23358972,FOLFIRI + sunitinib (Arm A),intervention,2,5,12,22,33,45,0,2,5,9,14,18,1,1,2,3,3,3,1,2,5,10,16,24,0,0,0,0,0,0,42,until progression,"Screening <21 Days, Screening ≤7 Days (Day -1), Day 1, Day 8, Day 15, Day 22, Day 29. These columns represent distinct in-person visits.","The 'Screen <21 Days' and 'Screen ≤7 Days' columns in the Schedule of Activities (page 34/35) are treated as two distinct in-person screening visits (e.g., Day -21 and Day -1).; The 'Treatment Cycle 1 onwards' columns (Day 1, Day 8, Day 15, Day 22, Day 29) repeat for subsequent cycles.; A 6-week (42-day) cycle length is used, with FOLFIRI administered on Day 1, Day 15, and Day 29 of each cycle, and Sunitinib daily for 4 weeks (Day 1-28) followed by 2 weeks off (Day 29-42).; Assessments marked 'SOC' (Standard of Care) or 'To repeat on study if clinically indicated' are not counted as study-mandated in-person contact days unless explicitly required by a footnote for a specific visit.; For Arm A, Tumour Imaging is performed on Day 1 of every cycle (every 42 days) from Cycle 2 onwards, as per Footnote 18 (page 8).; For Arm A, ECG is performed on Day 29 of the first 3 cycles (C1D29, C2D29, C3D29), as per Footnote 13 (page 7).; For Arm A, Urinalysis is performed on Day 1 of every odd-numbered cycle (C1D1, C3D1, C5D1, C7D1, C9D1), as per Footnote 11 (page 7).; For Arm A, Haematology and Blood Chemistry are performed on Day 1, Day 8, Day 15, Day 22, and Day 29 of Cycle 1, and on Day 1, Day 8, Day 15, Day 22, and Day 29 of subsequent cycles, as per Footnote 9 (page 7) and table X markings.; For Arm A, CEA is performed on Day 1 of Cycle 1 and Day 1 of every cycle from Cycle 2 onwards, as per Footnote 18 (page 8).; For Arm A, Symptom Questionnaire is performed on Day 1 and Day 29 of the first 3 cycles, and then Day 1 of every odd-numbered cycle (C5D1, C7D1, C9D1), as per Footnote 24 (page 8).; Whole blood for RNA collection (Footnote 17, page 7) on C1D1 and C1D29 are counted as labs."
23358972,FOLFIRI + placebo (Arm B),control,1,5,12,22,33,45,0,2,5,9,14,18,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,19,27,42,until progression,"Screening <21 Days, Day 1, Day 8, Day 15, Day 22, Day 29. These columns represent distinct in-person visits.","The 'Screen <21 Days' column in the Schedule of Activities for 'PATIENTS RECEIVING FOLFIRI alone' (page 38/39) is treated as one in-person screening visit (e.g., Day -21). The 'Screen ≤7 Days' column has no X's, so it is not a distinct visit.; The 'Treatment Cycle 1 onwards' columns (Day 1, Day 8, Day 15, Day 22, Day 29) repeat for subsequent cycles.; A 6-week (42-day) cycle length is used, with FOLFIRI administered on Day 1, Day 15, and Day 29 of each cycle, and Placebo daily for 4 weeks (Day 1-28) followed by 2 weeks off (Day 29-42).; Assessments marked 'SOC' (Standard of Care) or 'To repeat on study if clinically indicated' are not counted as study-mandated in-person contact days unless explicitly required by a footnote for a specific visit.; For Arm B, Tumour Imaging is performed at Screening and then 'at the minimum every 12 weeks +/- 7 days' (Footnote 18, page 40), which translates to Day 1 of Cycle 1, Cycle 4, and Cycle 7.; For Arm B, ECOG PS, Body Weight & Vital Signs are performed 'on Day 1 of every FOLFIRI course' (Day 1, Day 15, Day 29 of each cycle), as per Footnotes 21, 22, 23 (page 41), overriding 'SOC' in the table.; For Arm B, Symptom Questionnaire is performed on Day 1 of the first 3 cycles, and then Day 1 of every odd-numbered cycle (C5D1, C7D1, C9D1), as per Footnote 24 (page 41)."
23940216,cediranib 30 mg monotherapy,intervention,1,5,9,13,17,22,1,5,9,13,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,until progression,"Screening (Day -14), Day 0 (C1D1), C1D7, C1D14, C1D21, C1D28, C1D35, C1D42 (C2D1), C2D21 (C2 mid-cycle), C3D1 (C3D1), C3D21 (C3 mid-cycle), C4D1 (C4D1), C4D21 (C4 mid-cycle), C5D1 (C5D1), C5D21 (C5 mid-cycle), C6D1 (C6D1), C6D21 (C6 mid-cycle), C7D1 (C7D1), C7D21 (C7 mid-cycle), C8D1 (C8D1), C8D21 (C8 mid-cycle), C9D1 (C9D1). This pattern of alternating 3-week and 6-week visits continues through Day 365.","One screening visit is assumed to occur on Day -14, within the '-2 weeks' window.; Day 0 is defined as 'Start Treatment (baseline) Day 1'.; All 'X' marks in the Schedule of Events (Table 1) indicate a mandatory in-person assessment, unless explicitly stated as optional.; Dispensing of cediranib (daily oral medication) or lomustine (every 6 weeks) constitutes a 'core_treatment' activity for that contact day.; Due to the daily oral medication (cediranib/placebo) being dispensed at every in-person visit, and lomustine being dispensed at every 6-week visit, the 'core_treatment' category dominates all contact days as per the precedence rule.; The nominal dates for visits are used (e.g., '1 week from baseline' is Day 7).; The 'Every 3 weeks' and 'Every 6 weeks' columns in the SoE represent distinct in-person contact days, with the 6-week visits aligning with lomustine administration and MRI, and the 3-week visits being mid-cycle assessments."
23940216,cediranib 20 mg in combination with lomustine,intervention,1,5,9,13,17,22,1,5,9,13,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,until progression,"Screening (Day -14), Day 0 (C1D1), C1D7, C1D14, C1D21, C1D28, C1D35, C1D42 (C2D1), C2D21 (C2 mid-cycle), C3D1 (C3D1), C3D21 (C3 mid-cycle), C4D1 (C4D1), C4D21 (C4 mid-cycle), C5D1 (C5D1), C5D21 (C5 mid-cycle), C6D1 (C6D1), C6D21 (C6 mid-cycle), C7D1 (C7D1), C7D21 (C7 mid-cycle), C8D1 (C8D1), C8D21 (C8 mid-cycle), C9D1 (C9D1). This pattern of alternating 3-week and 6-week visits continues through Day 365.","One screening visit is assumed to occur on Day -14, within the '-2 weeks' window.; Day 0 is defined as 'Start Treatment (baseline) Day 1'.; All 'X' marks in the Schedule of Events (Table 1) indicate a mandatory in-person assessment, unless explicitly stated as optional.; Dispensing of cediranib (daily oral medication) or lomustine (every 6 weeks) constitutes a 'core_treatment' activity for that contact day.; Due to the daily oral medication (cediranib/placebo) being dispensed at every in-person visit, and lomustine being dispensed at every 6-week visit, the 'core_treatment' category dominates all contact days as per the precedence rule.; The nominal dates for visits are used (e.g., '1 week from baseline' is Day 7).; The 'Every 3 weeks' and 'Every 6 weeks' columns in the SoE represent distinct in-person contact days, with the 6-week visits aligning with lomustine administration and MRI, and the 3-week visits being mid-cycle assessments."
23940216,cediranib matched placebo in combination with lomustine,control,1,5,9,13,17,22,1,5,9,13,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,until progression,"Screening (Day -14), Day 0 (C1D1), C1D7, C1D14, C1D21, C1D28, C1D35, C1D42 (C2D1), C2D21 (C2 mid-cycle), C3D1 (C3D1), C3D21 (C3 mid-cycle), C4D1 (C4D1), C4D21 (C4 mid-cycle), C5D1 (C5D1), C5D21 (C5 mid-cycle), C6D1 (C6D1), C6D21 (C6 mid-cycle), C7D1 (C7D1), C7D21 (C7 mid-cycle), C8D1 (C8D1), C8D21 (C8 mid-cycle), C9D1 (C9D1). This pattern of alternating 3-week and 6-week visits continues through Day 365.","One screening visit is assumed to occur on Day -14, within the '-2 weeks' window.; Day 0 is defined as 'Start Treatment (baseline) Day 1'.; All 'X' marks in the Schedule of Events (Table 1) indicate a mandatory in-person assessment, unless explicitly stated as optional.; Dispensing of cediranib (daily oral medication) or lomustine (every 6 weeks) constitutes a 'core_treatment' activity for that contact day.; Due to the daily oral medication (cediranib/placebo) being dispensed at every in-person visit, and lomustine being dispensed at every 6-week visit, the 'core_treatment' category dominates all contact days as per the precedence rule.; The nominal dates for visits are used (e.g., '1 week from baseline' is Day 7).; The 'Every 3 weeks' and 'Every 6 weeks' columns in the SoE represent distinct in-person contact days, with the 6-week visits aligning with lomustine administration and MRI, and the 3-week visits being mid-cycle assessments."
27264120,Letrozole 2.5 mg/day x 5 years,intervention,3,0,0,2,2,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,1,0,0,1,1,2,28,5 years or until recurrence/second malignancy,"Screening (Clinical Evaluation, Haematology, Biochemistry, Plasma Lipid Profile, Mammogram, Chest x-ray, Toxicity, Quality of Life), 6 months (Clinical Evaluation, Haematology, Biochemistry, Plasma Lipid Profile, Toxicity, Quality of Life), 12 months (Clinical Evaluation, Haematology, Biochemistry, Plasma Lipid Profile, Mammogram, Toxicity, Quality of Life). Each group of procedures occurring on the same day is counted as one unique contact day.","Pre-treatment evaluations ('within 30 days prior to randomization' on page 17) are assumed to occur as in-person visits within the screening window (Day -28 to Day -1).; Plasma Lipid Profile is counted as mandatory for all patients, despite the 'only done in a few centres' note, for a conservative estimate of contact days.; Quality of Life questionnaires are assumed to be completed in-person, as they are listed alongside other in-person assessments.; Mammogram and Chest x-ray, if not done within the specified look-back period (12 months and 30 days respectively), are assumed to necessitate an in-person visit within the screening window.; The 'one month from randomization' contact is explicitly stated as a 'telephone contact' (page 23, footnote **), and therefore not counted as an in-person visit.; Daily oral medication (Letrozole or Placebo) is self-administered and does not constitute an in-person contact day.; The MA.17R amendment schedule (Appendix XVI, page 93) was disregarded for the initial 12-month period as it applies to a 'further' 5 years of treatment after the initial 5 years of MA.17 core protocol."
27264120,Placebo daily x 5 years,control,3,0,0,2,2,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,1,0,0,1,1,2,28,5 years or until recurrence/second malignancy,"Screening (Clinical Evaluation, Haematology, Biochemistry, Plasma Lipid Profile, Mammogram, Chest x-ray, Toxicity, Quality of Life), 6 months (Clinical Evaluation, Haematology, Biochemistry, Plasma Lipid Profile, Toxicity, Quality of Life), 12 months (Clinical Evaluation, Haematology, Biochemistry, Plasma Lipid Profile, Mammogram, Toxicity, Quality of Life). Each group of procedures occurring on the same day is counted as one unique contact day.","Pre-treatment evaluations ('within 30 days prior to randomization' on page 17) are assumed to occur as in-person visits within the screening window (Day -28 to Day -1).; Plasma Lipid Profile is counted as mandatory for all patients, despite the 'only done in a few centres' note, for a conservative estimate of contact days.; Quality of Life questionnaires are assumed to be completed in-person, as they are listed alongside other in-person assessments.; Mammogram and Chest x-ray, if not done within the specified look-back period (12 months and 30 days respectively), are assumed to necessitate an in-person visit within the screening window.; The 'one month from randomization' contact is explicitly stated as a 'telephone contact' (page 23, footnote **), and therefore not counted as an in-person visit.; Daily oral medication (Letrozole or Placebo) is self-administered and does not constitute an in-person contact day.; The MA.17R amendment schedule (Appendix XVI, page 93) was disregarded for the initial 12-month period as it applies to a 'further' 5 years of treatment after the initial 5 years of MA.17 core protocol."
27569442,Induction Therapy (MAP),intervention,2,6,14,14,14,14,0,6,13,13,13,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,"Variable (5 weeks for MAP cycles 1-4, 4 weeks for MAP cycles 5-6, 4 weeks for MAPIE cycles)",Induction: ~10 weeks; Surgery: Week 11,"Screening (Day -28, Day -1), C1W1D1-2, C1W4D1-2, C1W5D1-2, C2W6D1-2, C1W7D1 (assessment), C2W9D1-2, C2W10D1-2, W11 (Surgery). Range-columns like 'Day 1-2' or 'Day 1-5' are counted as multiple distinct contact days for each day of administration.","Screening window includes 2 distinct in-person visits: one for initial imaging/diagnostics (Day -28) and one for comprehensive labs/H&P (Day -1).; Leucovorin rescue, though potentially multi-day, is counted as one contact day per scheduled administration day (Day 2 after MTX infusion) for conservatism.; All listed 'OBSERVATIONS' (e.g., CBC, H&P, Urinalysis, Electrolytes, GFR, ECHO/MUGA, Audiogram) are assumed to require in-person attendance and are counted on the same day as drug administration if listed in the same column, or on a dedicated assessment day if specified.; QOL assessments are considered in-person clinic visits and are assigned nominal days if not coinciding with drug administration days.; The 'End of Cycle 1' assessment at Week 7 (Day 42) is counted as a distinct clinic visit."
27569442,MAP (Good Responders),control,2,6,16,31,34,34,0,6,15,29,32,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,"Variable (5 weeks for MAP cycles 1-4, 4 weeks for MAP cycles 5-6)",total 29 weeks,"Screening (Day -28, Day -1), C1W1D1-2, C1W4D1-2, C1W5D1-2, C2W6D1-2, C1W7D1 (assessment), C2W9D1-2, C2W10D1-2, W11 (Surgery), C3W12D1-2, C3W15D1-2, C3W16D1-2, C4W17D1-2, C4W20D1-2, C4W21D1-2, C5W22D1-2, C5W25D1-2, C5W22 (QOL assessment), C6W26D1-2, C6W29D1. Range-columns like 'Day 1-2' are counted as multiple distinct contact days for each day of administration.","Screening window includes 2 distinct in-person visits: one for initial imaging/diagnostics (Day -28) and one for comprehensive labs/H&P (Day -1).; Leucovorin rescue, though potentially multi-day, is counted as one contact day per scheduled administration day (Day 2 after MTX infusion) for conservatism.; All listed 'OBSERVATIONS' (e.g., CBC, H&P, Urinalysis, Electrolytes, GFR, ECHO/MUGA, Audiogram) are assumed to require in-person attendance and are counted on the same day as drug administration if listed in the same column, or on a dedicated assessment day if specified.; QOL assessments are considered in-person clinic visits and are assigned nominal days if not coinciding with drug administration days. The 2nd QOL for MAP/MAPifn is placed on Day 150.; The 'End of Cycle 1' assessment at Week 7 (Day 42) is counted as a distinct clinic visit.; Treatment duration for MAP (Good Responders) is 29 total weeks (Day 0 to Day 203)."
27569442,MAPifn (Good Responders),intervention,2,6,16,31,42,46,0,6,15,29,40,44,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,"Variable (5 weeks for MAP cycles 1-4, 4 weeks for MAP cycles 5-6, then weekly/monthly for IFN)",total 104 weeks/2 years,"Screening (Day -28, Day -1), C1W1D1-2, C1W4D1-2, C1W5D1-2, C2W6D1-2, C1W7D1 (assessment), C2W9D1-2, C2W10D1-2, W11 (Surgery), C3W12D1-2, C3W15D1-2, C3W16D1-2, C4W17D1-2, C4W20D1-2, C4W21D1-2, C5W22D1-2, C5W25D1-2, C5W22 (QOL assessment), C6W26D1-2, C6W29D1, W30D1 (IFN), W31D1 (IFN), W32D1 (IFN), W33D1 (IFN), W34D1 (IFN), W35D1 (IFN), W36D1 (IFN), W37D1 (IFN), W38D1 (IFN), W42D1 (IFN), W46D1 (IFN), W50D1 (IFN). Range-columns like 'Day 1-2' are counted as multiple distinct contact days for each day of administration.","Screening window includes 2 distinct in-person visits: one for initial imaging/diagnostics (Day -28) and one for comprehensive labs/H&P (Day -1).; Leucovorin rescue, though potentially multi-day, is counted as one contact day per scheduled administration day (Day 2 after MTX infusion) for conservatism.; All listed 'OBSERVATIONS' (e.g., CBC, H&P, Urinalysis, Electrolytes, GFR, ECHO/MUGA, Audiogram) are assumed to require in-person attendance and are counted on the same day as drug administration if listed in the same column, or on a dedicated assessment day if specified.; QOL assessments are considered in-person clinic visits and are assigned nominal days if not coinciding with drug administration days. The 2nd QOL for MAP/MAPifn is placed on Day 150.; The 'End of Cycle 1' assessment at Week 7 (Day 42) is counted as a distinct clinic visit.; Pegylated interferon alfa-2b administration (SubQ) is considered a core treatment day, and associated weekly/monthly observations are secondary.; Weekly IFN visits are counted for Weeks 30-37, and monthly visits for Weeks 38, 42, 46, 50 within the 12-month window (Day 365)."
